*************************** NUIT one-group neutron cross-section data ***************************
Number of isotopes with neutron data: 
	551
Number of burnup steps:
	2

BU(MWd/kgHM)
0.00000000E+00   1.00000000E+00

NucId    NucName  MT
                  1021  2.29336515E+13   2.37769269E+13
180360   Ar36     3       
                  102   2.25101299E+15   2.33218031E+15
                  103   1.35090301E+14   1.36897690E+14
                  107   7.73757737E+13   7.81024635E+13
180370   Ar37     4       
                  16    1.65154491E+11   2.27892668E+11
                  102   9.15108385E+14   9.35386662E+14
                  103   3.10109089E+16   3.21127630E+16
                  107   8.71564052E+17   9.03083882E+17
180380   Ar38     3       
                  102   3.62463946E+14   3.75508510E+14
                  103   1.27241459E+12   1.29984027E+12
                  107   5.34545208E+12   5.98245055E+12
180390   Ar39     4       
                  16    2.21250538E+12   2.11301009E+12
                  102   3.51214676E+13   3.53512327E+13
                  103   3.22049693E+11   3.52425623E+11
                  107   4.43644618E+15   4.59610746E+15
180400   Ar40     4       
                  16    4.53689998E+10   2.49927104E+11
                  102   2.91784644E+14   3.02249673E+14
                  103   9.77491290E+09   1.16105697E+10
                  107   1.16314552E+11   1.11640393E+11
180410   Ar41     4       
                  16    5.33887493E+12   5.13060761E+12
                  102   2.66729044E+14   2.85617702E+14
                  103   2.14385570E+10   2.23036155E+10
                  107   6.27861710E+10   6.80315981E+10
190390   K39      3       
                  102   9.46164655E+14   9.78741829E+14
                  103   1.01446115E+14   1.01763972E+14
                  107   3.76689188E+13   3.96706076E+13
190400   K40      4       
                  16    6.58895286E+11   6.38043371E+11
                  102   1.32398106E+16   1.37259873E+16
                  103   1.83563083E+15   1.90339177E+15
                  107   3.69645861E+14   3.75257823E+14
190410   K41      4       
                  16    2.24427453E+09   1.60677930E+10
                  102   6.73620292E+14   7.05312020E+14
                  103   1.79278238E+12   1.89864269E+12
                  107   8.32597489E+11   9.17540485E+11
200400   Ca40     3       
                  102   1.86405381E+14   1.98156004E+14
                  103   9.55670434E+13   9.77481843E+13
                  107   3.56227518E+13   3.67443191E+13
200410   Ca41     4       
                  16    1.93940058E+11   2.39669616E+11
                  102   6.76333031E+13   6.82200973E+13
                  103   1.18338799E+16   1.22589402E+16
                  107   3.75662043E+17   3.89264326E+17
200420   Ca42     4       
                  16    0.00000000E+00   2.48114583E+08
                  102   3.10005609E+14   3.22442502E+14
                  103   3.49015289E+12   3.72230111E+12
                  107   2.27202456E+12   2.44776601E+12
200430   Ca43     4       
                  16    5.98801480E+11   7.40110049E+11
                  102   5.19992007E+15   5.39128549E+15
                  103   2.83636550E+12   3.07016410E+12
                  107   2.70831300E+12   2.87138289E+12
200440   Ca44     4       
                  16    0.00000000E+00   3.68211240E+10
                  102   3.95379019E+14   4.09939818E+14
                  103   8.81961793E+10   8.74398694E+10
                  107   4.59334138E+10   4.34794272E+10
200450   Ca45     4       
                  16    1.29625126E+12   1.36065982E+12
                  102   6.58013564E+15   6.81940702E+15
                  103   4.57204831E+10   5.02499432E+10
                  107   1.83322319E+10   2.07404702E+10
200460   Ca46     4       
                  16    1.24453323E+10   2.67046707E+11
                  102   3.27990094E+14   3.39827259E+14
                  103   1.81245863E+09   2.57167919E+09
                  107   6.14775401E+07   1.45686895E+08
200470   Ca47     4       
                  16    1.93857483E+12   1.94831816E+12
                  102   3.18363282E+14   3.28598582E+14
                  103   4.94808045E+09   5.99222965E+09
                  107   1.72814567E+08   2.34449629E+08
200480   Ca48     4       
                  16    1.06796446E+11   5.00333549E+11
                  102   4.81795520E+14   4.99262866E+14
                  103   0.00000000E+00   6.07917821E+00
                  107   2.09825942E+00   6.61933820E+03
210450   Sc45     5       
                  16    0.00000000E+00   9.89273151E+08
                  102   6.66481721E+15   6.90897827E+15
                  103   2.18106469E+13   2.18080150E+13
                  107   4.33060327E+11   4.65754558E+11
                  1021  5.32226410E+15   5.51724164E+15
220460   Ti46     3       
                  102   2.75402210E+14   2.83492564E+14
                  103   9.58152398E+12   1.04088459E+13
                  107   1.32869034E+12   1.40735488E+12
220470   Ti47     4       
                  16    2.18902360E+11   4.09695307E+11
                  102   7.81400566E+14   8.12055884E+14
                  103   1.72380600E+13   1.77385184E+13
                  107   8.24259911E+12   8.50604103E+12
220480   Ti48     3       
                  102   3.68065839E+15   3.80962892E+15
                  103   3.69574160E+11   3.79101330E+11
                  107   6.81167703E+10   6.83448207E+10
220490   Ti49     4       
                  16    5.17528480E+11   6.57597700E+11
                  102   8.34514539E+14   8.63580242E+14
                  103   9.83932306E+11   1.04411022E+12
                  107   1.35701382E+11   1.43223217E+11
220500   Ti50     4       
                  16    0.00000000E+00   1.14382776E+11
                  102   8.04485572E+13   8.36317977E+13
                  103   8.63258620E+09   9.48718666E+09
                  107   1.06320752E+10   1.01255554E+10
230490   V49      3       
                  102   1.29791357E+16   1.30249202E+16
                  103   4.57744369E+16   4.74312726E+16
                  107   3.36092260E+11   3.56344533E+11
230500   V50      4       
                  16    1.23706615E+11   3.49594171E+11
                  102   2.34858778E+16   2.37280326E+16
                  103   8.62057075E+12   8.74562866E+12
                  107   1.94168802E+11   1.99519811E+11
230510   V51      4       
                  16    0.00000000E+00   3.82823921E+10
                  102   2.20762696E+15   2.28433918E+15
                  103   5.04433261E+11   5.42320599E+11
                  107   2.78691608E+10   2.76315453E+10
240500   Cr50     3       
                  102   6.83488809E+15   7.08361568E+15
                  103   4.44362431E+13   4.70306669E+13
                  107   3.23181240E+12   3.59569506E+12
240510   Cr51     4       
                  16    7.79364881E+10   2.26393170E+11
                  102   4.77280536E+15   4.95520943E+15
                  103   3.36879829E+15   3.48107540E+15
                  107   4.41160084E+15   4.57097663E+15
240520   Cr52     3       
                  102   3.92359829E+14   4.03259649E+14
                  103   1.03258305E+12   1.10140459E+12
                  107   1.34148261E+11   1.32554971E+11
240530   Cr53     4       
                  16    1.02743741E+12   1.17744946E+12
                  102   8.01416951E+15   8.30623105E+15
                  103   3.81121207E+11   4.14786070E+11
                  107   7.66253074E+11   8.25457491E+11
240540   Cr54     4       
                  16    1.69841915E+11   5.33156021E+11
                  102   1.85744650E+14   1.93106350E+14
                  103   7.15566884E+09   9.21938447E+09
                  107   5.22568944E+10   5.14147049E+10
250540   Mn54     4       
                  16    5.48139183E+11   8.29339778E+11
                  102   1.68187540E+16   1.74401993E+16
                  103   1.56715251E+15   1.62096697E+15
                  107   1.09531972E+12   1.18752102E+12
250550   Mn55     4       
                  16    1.88943004E+10   2.38538472E+11
                  102   6.50532023E+15   6.71878879E+15
                  103   2.38111039E+11   2.68845741E+11
                  107   4.66862295E+10   4.41009987E+10
260540   Fe54     3       
