*************************** NUIT one-group neutron cross-section data ***************************
Number of isotopes with neutron data: 
	202
Number of burnup steps:
	2

BU(MWd/kgHM)
0.00000000E+00   1.00000000E+00

NucId    NucName  MT
                  103   6.26549326E-06   4.11523385E-06
                  107   1.75284092E-05   1.68179397E-05
441010   Ru101    4       
                  16    1.54129766E-03   7.58958214E-04
                  102   3.87954096E+00   3.33142925E+00
                  103   8.27369311E-06   5.77351574E-06
                  107   6.76550179E-06   5.88579294E-06
441020   Ru102    4       
                  16    4.57976522E-04   1.93227019E-04
                  102   3.25643768E-01   2.92521188E-01
                  103   1.07935897E-06   7.09593421E-07
                  107   5.07789468E-06   4.55767016E-06
441030   Ru103    4       
                  16    2.46855694E-03   1.55174479E-03
                  102   1.37188519E+00   1.36401057E+00
                  103   3.88345736E-06   2.54790424E-06
                  107   3.41955831E-06   2.53174403E-06
441040   Ru104    4       
                  16    8.23933894E-04   2.70242556E-04
                  102   2.37883932E-01   2.75509818E-01
                  103   8.25838177E-07   6.47623440E-07
                  107   4.15475860E-07   2.75572016E-07
441050   Ru105    4       
                  16    2.94057825E-03   2.23464767E-03
                  102   2.70999605E-01   2.68330770E-01
                  103   2.88675392E-06   1.88108882E-06
                  107   1.28537875E-06   8.99602483E-07
441060   Ru106    3       
                  16    1.33554819E-03   3.94168766E-04
                  102   8.90726149E-02   8.54769122E-02
                  103   2.25648477E-07   2.96338313E-07
451030   Rh103    4       
                  16    4.87011130E-04   1.94087312E-04
                  102   4.21153641E+01   4.04485397E+01
                  103   3.66607707E-05   3.31386093E-05
                  107   3.91327673E-06   2.80917795E-06
451040   Rh104    4       
                  16    2.22596363E-03   1.31159024E-03
                  102   3.48411759E+00   3.54797442E+00
                  103   3.94403781E-03   3.64228857E-03
                  107   5.06951743E-05   4.63438103E-05
451050   Rh105    4       
                  16    8.69570098E-04   2.67044842E-04
                  102   2.13222224E+03   1.98948911E+03
                  103   7.31382657E-06   5.39752031E-06
                  107   6.74876815E-07   4.58657575E-07
461040   Pd104    4       
                  16    2.93298360E-04   1.73673458E-04
                  102   5.53098802E-01   7.73579245E-01
                  103   3.89369877E-05   3.59387467E-05
                  107   2.80899659E-05   2.79687798E-05
461050   Pd105    4       
                  16    1.18436921E-03   5.06269228E-04
                  102   5.27018362E+00   4.95542545E+00
                  103   2.74446645E-05   2.19757435E-05
                  107   1.20610513E-05   1.07117142E-05
461060   Pd106    4       
                  16    5.31694768E-04   2.15290849E-04
                  102   3.03029452E-01   2.91110392E-01
                  103   1.30034000E-05   9.46036900E-06
                  107   3.36616444E-06   3.21230961E-06
461070   Pd107    4       
                  16    2.73271762E-03   1.91752828E-03
                  102   3.35188829E+00   3.94054380E+00
                  103   4.74950325E-06   3.29503016E-06
                  107   2.50241461E-06   2.37873986E-06
461080   Pd108    4       
                  16    7.99717918E-04   2.51059238E-04
                  102   8.29957414E+00   8.39652152E+00
                  103   2.91511301E-06   2.06962860E-06
                  107   7.85987653E-07   7.38933607E-07
461090   Pd109    4       
                  16    2.94718608E-03   2.09259302E-03
                  102   3.79183903E+00   3.61040038E+00
                  103   8.12004679E-07   6.51128853E-07
                  107   5.71112084E-07   5.31485656E-07
471070   Ag107    4       
                  16    4.66944970E-04   1.93700947E-04
                  102   6.90310274E+00   6.73564423E+00
                  103   1.22320112E-04   1.26287867E-04
                  107   4.44829434E-06   3.97926146E-06
471090   Ag109    4       
                  16    5.26137331E-04   2.06654862E-04
                  102   4.20904301E+01   3.86595460E+01
                  103   1.32509889E-05   1.11267702E-05
                  107   1.06891711E-06   7.81847402E-07
471101   Ag110m1  4       
                  16    2.17631671E-03   1.26767821E-03
                  102   1.12827911E+01   1.05369726E+01
                  103   2.03139655E-05   1.86662440E-05
                  107   9.76058863E-07   7.37295664E-07
471110   Ag111    4       
                  16    8.07651333E-04   2.73578195E-04
                  102   3.10697836E+00   2.80495148E+00
                  103   3.45061159E-06   2.29267214E-06
                  107   3.82695597E-07   3.43426568E-07
481100   Cd110    4       
                  16    2.59046582E-04   1.70043722E-04
                  102   2.37760626E+00   1.88623954E+00
                  103   6.11067224E-06   3.68916010E-06
                  107   1.15775102E-06   7.68691578E-07
481110   Cd111    4       
                  16    1.89315329E-03   1.02115502E-03
                  102   2.32308770E+00   2.42183372E+00
                  103   2.76730242E-05   2.33097296E-05
                  107   5.76348785E-06   5.73075313E-06
481120   Cd112    4       
                  16    4.11967182E-04   1.98282630E-04
                  102   5.75986110E-01   5.44300028E-01
                  103   2.52923215E-06   1.76801715E-06
                  107   2.47911159E-07   1.73313068E-07
481130   Cd113    4       
                  16    1.80689656E-03   1.16017570E-03
                  102   5.75190092E+03   5.26271457E+03
                  103   2.75901892E-06   1.76444059E-06
                  107   7.89876047E-07   7.58934130E-07
481140   Cd114    3       
                  16    5.26123279E-04   2.24695118E-04
                  102   4.52724916E-01   3.63389387E-01
                  103   3.86881226E-07   3.43231436E-07
491130   In113    4       
                  16    3.95853342E-04   2.09445606E-04
                  102   1.03900626E+01   1.03762781E+01
                  103   1.46736506E-05   1.06920147E-05
                  107   1.36629682E-06   9.64287962E-07
491150   In115    4       
                  16    5.53088623E-04   2.20901125E-04
                  102   1.03962828E+02   1.09023243E+02
                  103   2.87040355E-06   1.86401798E-06
                  107   5.24821225E-07   3.86632562E-07
511210   Sb121    4       
                  16    4.61203302E-04   2.08948721E-04
                  102   4.74617977E+00   5.32753874E+00
                  103   1.66856399E-05   1.39432076E-05
                  107   2.61263429E-07   2.19516808E-07
511230   Sb123    3       
                  16    6.48447387E-04   2.31048257E-04
                  102   2.13943321E+00   2.68618564E+00
                  103   6.93351014E-06   5.03027251E-06
511250   Sb125    3       
                  16    9.25390851E-04   2.84487278E-04
                  102   1.97425747E+00   2.01037273E+00
                  103   4.44452087E-07   3.02697525E-07
521271   Te127m1  4       
                  16    2.42497360E-03   1.82325573E-03
                  102   4.04461300E+02   3.72852060E+02
                  103   5.61385580E-07   3.60380347E-07
                  107   3.36767081E-07   2.75295885E-07
521291   Te129m1  3       
                  16    3.18978751E-03   2.77243478E-03
                  102   1.94221632E+02   1.79347647E+02
                  103   2.31272899E-07   1.68316521E-07
521320   Te132    3       
                  16    1.37646537E-03   4.51188818E-04
