*************************** NUIT one-group neutron cross-section data ***************************
Number of isotopes with neutron data: 
	554
Number of burnup steps:
	2

BU(MWd/kgHM)
0.00000000E+00   2.14162361E-09

NucId    NucName  MT
                  107   5.38139276E-03   5.45887091E-03
170360   Cl36     4       
                  16    2.87186319E-05   9.79430561E-05
                  102   1.23486569E+00   1.22430632E+00
                  103   2.54446998E+01   2.51352575E+01
                  107   7.87931936E-01   7.78631917E-01
170370   Cl37     5       
                  16    8.83402335E-07   3.46365722E-05
                  102   4.63490437E-02   4.58317535E-02
                  103   4.15362040E-05   4.50959312E-05
                  107   9.69423365E-05   1.03807425E-04
                  1021  6.26651277E-03   6.19657378E-03
180360   Ar36     3       
                  102   6.12411320E-01   6.05124641E-01
                  103   4.16360882E-02   4.20729960E-02
                  107   2.38221967E-02   2.40460079E-02
180370   Ar37     4       
                  16    1.03510111E-05   5.43955711E-05
                  102   2.78923610E-01   2.79995342E-01
                  103   8.48973475E+00   8.38822647E+00
                  107   2.37764746E+02   2.34864867E+02
180380   Ar38     4       
                  16    1.02630229E-08   4.06011028E-06
                  102   9.76706486E-02   9.65572870E-02
                  103   3.05489168E-04   3.10560827E-04
                  107   1.68562253E-03   1.67227827E-03
180390   Ar39     4       
                  16    3.87187666E-04   4.73376799E-04
                  102   1.18233231E-02   1.20270541E-02
                  103   8.36310023E-05   9.02876530E-05
                  107   1.21118179E+00   1.19655144E+00
180400   Ar40     4       
                  16    2.08174739E-06   6.61778756E-05
                  102   7.96884630E-02   7.88257613E-02
                  103   1.10989984E-06   2.81042555E-06
                  107   2.38547478E-05   2.53576196E-05
180410   Ar41     4       
                  16    1.04165517E-03   2.39241583E-04
                  102   7.69019601E-02   1.78136894E-02
                  103   3.50025340E-06   1.05672208E-06
                  107   1.71952107E-05   3.53463333E-06
190390   K39      3       
                  102   2.58153674E-01   2.55680806E-01
                  103   3.12695140E-02   3.13953101E-02
                  107   1.15911837E-02   1.17771365E-02
190400   K40      4       
                  16    9.43381829E-05   1.41338205E-04
                  102   3.61251094E+00   3.56857126E+00
                  103   4.77684561E-01   4.72223535E-01
                  107   1.16825922E-01   1.16118394E-01
190410   K41      4       
                  16    1.38422215E-07   4.22445718E-06
                  102   1.86091336E-01   1.84714737E-01
                  103   5.36087221E-04   5.44702954E-04
                  107   2.49177366E-04   2.50526443E-04
200400   Ca40     3       
                  102   5.14297823E-02   5.13392745E-02
                  103   2.92530834E-02   2.94141839E-02
                  107   1.08681908E-02   1.10301229E-02
200410   Ca41     4       
                  16    1.74707166E-05   5.67134408E-05
                  102   2.25005134E-02   2.28063369E-02
                  103   3.23270244E+00   3.19396127E+00
                  107   1.02498777E+02   1.01251429E+02
200420   Ca42     4       
                  16    4.71641791E-08   4.90511540E-06
                  102   8.46144869E-02   8.42676783E-02
                  103   9.24991656E-04   9.28484684E-04
                  107   6.42721223E-04   6.41519368E-04
200430   Ca43     4       
                  16    6.37498182E-05   1.74934563E-04
                  102   1.42378424E+00   1.40746640E+00
